fips,date,cases,deaths
42091,95,982,17
42095,95,588,11
42101,95,2610,24
44007,95,491,7
45019,95,274,1
45079,95,242,6
47037,95,856,6
47157,95,706,10
47165,95,301,10
47187,95,239,2
48029,95,395,11
48085,95,268,3
48113,95,1015,18
48121,95,288,6
48157,95,268,5
48167,95,222,1
48201,95,1284,17
48439,95,383,9
48453,95,430,6
49035,95,650,1
49043,95,230,0
50007,95,245,6
51059,95,387,5
53033,95,2900,204
53053,95,627,8
53061,95,1502,44
53063,95,209,10
53077,95,289,7
55025,95,253,8
55079,95,1069,29
01073,96,418,9
04013,96,1326,31
04019,96,372,12
06001,96,587,12
06013,96,386,6
06029,96,225,2
06037,96,5940,132
06059,96,834,14
06065,96,799,19
06067,96,441,16
06071,96,372,13
06073,96,1326,19
06075,96,571,8
06077,96,203,11
06081,96,555,13
06085,96,1207,40
06111,96,221,6
08001,96,354,10
08005,96,608,13
08031,96,825,16
08035,96,223,4
08037,96,339,5
08041,96,435,25
08059,96,519,17
08123,96,470,24
09001,96,3050,96
09003,96,751,29
09009,96,1162,36
10003,96,436,9
11001,96,998,22
12011,96,1886,40
12021,96,231,2
12031,96,413,9
12057,96,536,5
12071,96,378,11
12086,96,4145,31
12095,96,712,7
12097,96,229,4
12099,96,998,49
12103,96,359,8
13063,96,238,9
13067,96,474,24
13089,96,549,9
13095,96,688,31
13121,96,970,28
13135,96,410,7
15003,96,281,2
16001,96,402,3
16013,96,410,2
17031,96,8043,186
17043,96,656,22
17089,96,220,15
17097,96,742,15
17197,96,668,15
18057,96,300,5
18089,96,336,9
18097,96,1764,41
21111,96,304,12
22005,96,286,11
22017,96,647,19
22033,96,656,22
22051,96,3088,113
22055,96,247,5
22057,96,228,4
22071,96,4066,161
22087,96,242,8
22089,96,260,13
22095,96,345,24
22103,96,560,14
23005,96,238,7
24003,96,319,6
24005,96,590,6
24510,96,394,7
24031,96,693,13
24033,96,785,16
25001,96,347,6
25003,96,258,13
25005,96,659,8
25009,96,1506,28
25013,96,768,35
25017,96,2632,42
25021,96,1271,27
25023,96,963,10
25025,96,2658,29
25027,96,978,18
26049,96,504,18
26099,96,2003,83
26125,96,3074,165
26161,96,521,8
26163,96,7518,293
27053,96,267,11
29189,96,883,13
29510,96,298,8
32003,96,1519,41
32031,96,264,4
33011,96,249,7
33015,96,230,1
34003,96,6187,189
34005,96,547,11
34007,96,556,10
34013,96,4082,172
34015,96,248,3
34017,96,3924,87
34021,96,654,16
34023,96,2950,80
34025,96,2354,58
34027,96,1800,55
34029,96,2177,62
34031,96,3227,42
34035,96,833,26
34037,96,267,9
34039,96,3216,71
35001,96,246,7
36001,96,305,8
36027,96,1077,11
36029,96,1059,27
36055,96,548,19
36059,96,14398,396
36067,96,349,4
36071,96,3102,51
36079,96,314,9
36087,96,5362,69
36103,96,12933,175
36105,96,234,5
36111,96,358,4
36119,96,13722,197
37119,96,664,6
37183,96,304,0
39035,96,826,14
39049,96,597,8
39061,96,319,3
39095,96,302,8
39099,96,261,15
40109,96,265,10
40143,96,240,8
41051,96,233,7
41067,96,259,4
42003,96,605,4
42011,96,276,3
42017,96,634,17
42029,96,269,2
42045,96,708,14
42071,96,371,8
42077,96,877,8
42079,96,741,5
42089,96,528,11
42091,96,1111,22
42095,96,636,11
42101,96,3135,28
44007,96,538,7
45019,96,274,1
45079,96,298,6
47037,96,924,6
47157,96,754,11
47165,96,321,10
47187,96,258,2
48029,96,421,11
48085,96,268,3
48113,96,1112,18
48121,96,304,7
48157,96,268,5
48167,96,240,1
48201,96,1395,20
48439,96,404,11
48453,96,460,6
49035,96,741,1
49043,96,256,0
49049,96,216,0
50007,96,271,6
51059,96,426,5
53033,96,3169,210
53053,96,695,10
53061,96,1558,48
53063,96,219,11
53073,96,224,15
53077,96,363,12
55025,96,269,8
55079,96,1148,39
01073,97,438,11
04013,97,1433,31
04017,97,210,1
04019,97,415,13
06001,97,609,13
06013,97,417,7
06029,97,246,2
06037,97,6360,147
06059,97,882,14
06065,97,946,25
06067,97,461,18
06071,97,530,16
06073,97,1404,19
06075,97,586,9
06077,97,212,11
06081,97,579,13
06085,97,1224,40
06111,97,226,6
08001,97,367,12
08005,97,652,15
08031,97,847,15
08035,97,227,4
08037,97,355,5
08041,97,441,28
08059,97,540,18
08123,97,504,26
09001,97,3719,101
09003,97,882,31
09005,97,230,8
09009,97,1468,41
10003,97,496,9
11001,97,1097,24
12011,97,2075,47
12021,97,249,3
12031,97,478,9
12057,97,575,5
12071,97,399,14
12086,97,4670,41
12095,97,753,8
12097,97,241,4
12099,97,1080,51
12103,97,372,8
13063,97,254,9
13067,97,517,26
13089,97,600,11
13095,97,722,44
13121,97,1053,32
13135,97,455,10
15003,97,292,4
16001,97,419,3
16013,97,423,2
17031,97,8728,209
17043,97,715,22
17089,97,234,15
17097,97,815,15
17197,97,697,19
18057,97,335,5
18089,97,370,9
18097,97,1960,45
20091,97,213,9
21111,97,313,20
22005,97,347,11
22017,97,711,21
22033,97,816,25
22051,97,3530,121
22055,97,260,6
22057,97,305,7
22071,97,4565,171
22073,97,230,1
22087,97,267,8
22089,97,285,15
22095,97,366,24
22103,97,637,17
23005,97,249,7
24003,97,343,8
24005,97,648,11
24510,97,435,8
24027,97,214,3
24031,97,793,19
24033,97,916,23
25001,97,383,7
25003,97,268,13
25005,97,722,8
25009,97,1653,31
25013,97,889,39
25017,97,2950,48
25021,97,1382,30
25023,97,1067,14
25025,97,2929,33
