name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
pm047-25.dialip.mich.net,18,18,18,18,5832,54,189,189,189,189,6751269,567,3635,3635,10320.333333,27063,25872363315,30961
pm051-02.dialip.mich.net,19,19,19,19,130321,76,189,189,189,189,1275989841,756,11175,11175,15104,41397,7077823723229625,60416
pm061-22.dialip.mich.net,22,22,22,22,113379904,132,194,194,194,194,53310208315456,1164,363,786,2496.666667,7062,1850294756640906496,14980
pm074.bby.wis.net,18,18,18,18,1889568,90,184,184,184,184,210906087424,920,49152,49152,71978,204800,185654589598870378905600,359890
pm076.bby.wis.net,4,4,4,4,262144,36,199,199,199,199,489415464119070621696,1791,11175,3635,9517.666667,41397,861696033093157514138091251564544,85659
pm1-10.in.net,20,20,20,20,64000000,120,193,193,193,193,51682540549249,1158,509,515,3291.333333,17688,0,19748
pm1-14.america.net,21,21,21,21,37822859361,168,241,241,241,241,11379844838561357824,1928,0,4745,9130.875,46053,0,73047
pm1-19.america.net,18,18,18,18,104976,72,241,241,241,241,3373402561,964,14108,3635,5970.25,14108,468504163561460,23881
pm1-2.skypoint.net,19,19,19,19,130321,76,187,187,187,187,1222830961,748,1713,17459,17082.25,49157,0,68329
pm1-24.in.net,5,5,5.142857,6,93750,36,186,186,186,186,7701771143776896,1302,1204,3985,143979,946425,5357046992057790018944499712,1007853
pm105.spectra.net,8,8,8,8,8,8,198,198,198,198,198,198,7071,7071,7071,7071,7071,7071
pm2-28.tvs.net,16,16,12.444444,16,0,112,219,219,212.777778,219,881405057935513616384,1915,71655,28219,35035.111111,104914,27666693935843903308303535709314088960,315316
pm28.ilhawaii.net,19,19,19,19,2476099,95,207,207,207,207,380059617807,1035,0,0,1731.4,8657,0,8657
pm5a17.sover.net,8,8,8,8,262144,48,202,202,202,202,67937289638464,1212,0,0,0,0,0,0
po-boy.cs.duke.edu,16,16,16,16,1048576,80,243,243,243,243,847288609443,1215,3635,3635,8263,32252,255465338411965440,41315
poe.mgh.harvard.edu,13,13,13,13,4826809,78,202,202,202,202,67937289638464,1212,786,786,2498.166667,7071,1852652821326515200,14989
