name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
s1c1p2.aa.net,0,0,0,0,0,0,191,191,191,191,191,191,1932,1932,1932,1932,1932,1932
s2c0p5.aa.net,20,20,20,20,20,20,207,207,207,207,207,207,49590,49590,49590,49590,49590,49590
s4125.netins.net,17,17,17,17,17,17,192,192,192,192,192,192,13116,13116,13116,13116,13116,13116
sanantonio-1-4.i-link.net,9,9,9,9,9,9,189,189,189,189,189,189,1414,1414,1414,1414,1414,1414
sarfl-3.gate.net,18,18,18,18,18,18,223,223,223,223,223,223,11175,11175,11175,11175,11175,11175
sbsr.u.aloha.net,21,21,21,21,21,21,188,188,188,188,188,188,786,786,786,786,786,786
sea-ts1-p14.wolfe.net,21,21,21,21,21,21,186,186,186,186,186,186,12451,12451,12451,12451,12451,12451
sea-ts1-p19.wolfe.net,2,2,2,2,2,2,190,190,190,190,190,190,7008,7008,7008,7008,7008,7008
sea-ts1-p20.wolfe.net,17,17,17,17,17,17,185,185,185,185,185,185,3047,3047,3047,3047,3047,3047
server2-2.durham.net,20,20,20,20,20,20,186,186,186,186,186,186,3842,3842,3842,3842,3842,3842
session1.apci.net,5,5,5,5,5,5,242,242,242,242,242,242,11473,11473,11473,11473,11473,11473
sgtdial05.shout.net,14,14,14,14,14,14,200,200,200,200,200,200,3528,3528,3528,3528,3528,3528
skelly.wat.hookup.net,9,9,9,9,9,9,230,230,230,230,230,230,17688,17688,17688,17688,17688,17688
slcmodem1-p1-13.intele.net,20,20,20,20,20,20,220,220,220,220,220,220,12859,12859,12859,12859,12859,12859
slcmodem1-p1-15.intele.net,9,9,9,9,9,9,242,242,242,242,242,242,515,515,515,515,515,515
slcmodem1-p1-4.intele.net,14,14,14,14,14,14,207,207,207,207,207,207,4209,4209,4209,4209,4209,4209
slip-0-8.shore.net,20,20,20,20,20,20,199,199,199,199,199,199,5026,5026,5026,5026,5026,5026
slip-3-5.shore.net,16,16,16,16,16,16,242,242,242,242,242,242,3635,3635,3635,3635,3635,3635
slip-5-7.shore.net,19,19,19,19,19,19,228,228,228,228,228,228,3260,3260,3260,3260,3260,3260
slip1.elysian.net,8,8,8,8,8,8,197,197,197,197,197,197,7008,7008,7008,7008,7008,7008
slip1.fs.cei.net,12,12,12,12,12,12,184,184,184,184,184,184,363,363,363,363,363,363
slip108.hk.super.net,4,4,4,4,4,4,187,187,187,187,187,187,1713,1713,1713,1713,1713,1713
slip116-133.nc.us.ibm.net,20,20,20,20,20,20,183,183,183,183,183,183,1204,1204,1204,1204,1204,1204
slip117-17.nc.us.ibm.net,20,20,20,20,20,20,199,199,199,199,199,199,4821,4821,4821,4821,4821,4821
slip12.duncan.island.net,21,21,21,21,21,21,231,231,231,231,231,231,669,669,669,669,669,669
slip13.cedar1.tcd.net,23,23,23,23,23,23,228,228,228,228,228,228,1713,1713,1713,1713,1713,1713
slip136-160.pt.uk.ibm.net,5,5,5,5,5,5,204,204,204,204,204,204,363,363,363,363,363,363
slip136-219.pt.uk.ibm.net,13,13,13,13,13,13,185,185,185,185,185,185,7074,7074,7074,7074,7074,7074
slip137-5.pt.uk.ibm.net,23,23,23,23,23,23,182,182,182,182,182,182,86381,86381,86381,86381,86381,86381
slip137-50.pt.uk.ibm.net,13,13,13,13,13,13,208,208,208,208,208,208,1173,1173,1173,1173,1173,1173
slip144-130.ut.nl.ibm.net,3,3,3,3,3,3,188,188,188,188,188,188,5866,5866,5866,5866,5866,5866
slip144-204.ut.nl.ibm.net,13,13,13,13,13,13,192,192,192,192,192,192,1173,1173,1173,1173,1173,1173
slip159.hk.super.net,8,8,8,8,8,8,190,190,190,190,190,190,234,234,234,234,234,234
slip161.hk.super.net,0,0,0,0,0,0,200,200,200,200,200,200,786,786,786,786,786,786
